Employee_ID,Age,Gender,Country,Work_Stress_Level,Hours_Worked_Per_Week,Remote_Work,Family_History,Mental_Health_Awareness,Supervisor_Support,Work_Life_Balance,Physical_Activity,sought_treatment,Role,Job_Satisfaction
EMP001,28,Female,Germany,High,54,No,Yes,High,Medium,Good,High,Yes,UI/UX Designer,Low
EMP002,41,Male,Germany,High,43,Yes,Yes,High,Medium,Good,High,Yes,Data Analyst,Medium
EMP003,36,Female,Germany,Medium,51,No,No,Low,Medium,Poor,High,Yes,Data Analyst,High
EMP004,32,Male,UK,Low,54,Yes,No,Medium,Low,Excellent,High,No,DevOps Engineer,Medium
EMP005,29,Male,Canada,High,56,Yes,Yes,Medium,Low,Good,Moderate,Yes,Technical Support,High
EMP006,42,Female,USA,Medium,56,Yes,Yes,Medium,Medium,Poor,High,Yes,Software Engineer,High
EMP007,28,Female,UK,High,62,Yes,No,Medium,Low,Excellent,Low,Yes,Software Engineer,Low
EMP008,47,Male,Germany,Medium,63,Yes,No,High,Low,Good,Moderate,No,Technical Support,Medium
EMP009,40,Female,India,High,42,No,Yes,High,Medium,Good,High,Yes,QA Tester,Medium
EMP010,44,Female,Germany,Medium,51,No,Yes,High,Low,Excellent,Low,Yes,QA Tester,Medium
EMP011,32,Male,Canada,Medium,41,No,Yes,High,High,Excellent,Moderate,No,QA Tester,High
EMP012,32,Male,Germany,High,35,No,Yes,High,High,Excellent,Moderate,Yes,Software Engineer,Medium
EMP013,45,Female,India,Medium,47,Yes,No,Medium,High,Excellent,High,No,Data Analyst,Low
EMP014,42,Male,Canada,Low,64,No,Yes,Medium,High,Poor,Moderate,Yes,Software Engineer,Medium
EMP015,25,Male,Germany,Low,57,Yes,Yes,Medium,Medium,Excellent,Low,No,Project Manager,High
EMP016,29,Female,Canada,High,53,No,Yes,Medium,Medium,Good,Moderate,Yes,UI/UX Designer,Low
EMP017,45,Male,USA,High,61,Yes,Yes,High,Medium,Good,Low,Yes,QA Tester,High
EMP018,24,Male,USA,High,58,Yes,No,High,High,Poor,Moderate,Yes,Data Analyst,Medium
EMP019,43,Female,Germany,Low,53,No,No,High,High,Good,High,No,DevOps Engineer,High
EMP020,42,Female,Canada,Low,64,Yes,No,Low,Low,Good,Low,Yes,DevOps Engineer,High
EMP021,23,Male,India,Low,64,Yes,Yes,Medium,Low,Excellent,Moderate,No,UI/UX Designer,Medium
EMP022,45,Male,Germany,Medium,63,No,Yes,Medium,High,Good,Moderate,No,Data Analyst,Medium
EMP023,33,Female,USA,Medium,51,Yes,No,High,High,Poor,Moderate,Yes,Software Engineer,High
EMP024,27,Female,USA,Medium,47,No,Yes,Medium,High,Excellent,Low,No,Software Engineer,Medium
EMP025,23,Female,Germany,Medium,63,No,Yes,Medium,High,Excellent,Low,No,Project Manager,High
EMP026,49,Female,Canada,High,64,No,No,High,Low,Poor,Low,Yes,Project Manager,Low
EMP027,42,Male,USA,Medium,50,Yes,No,Low,High,Excellent,High,No,Software Engineer,High
EMP028,22,Female,Canada,Medium,42,Yes,No,Low,Low,Excellent,High,Yes,DevOps Engineer,High
EMP029,33,Female,USA,High,53,Yes,No,Low,High,Poor,Low,Yes,QA Tester,High
EMP030,47,Male,USA,Medium,52,No,Yes,High,High,Excellent,Moderate,No,DevOps Engineer,Low
EMP031,43,Female,UK,High,35,Yes,Yes,Medium,High,Poor,High,Yes,Project Manager,Medium
EMP032,33,Male,USA,High,48,No,No,High,Low,Poor,Low,Yes,UI/UX Designer,Medium
EMP033,46,Female,India,High,53,No,Yes,High,Low,Good,Moderate,Yes,Software Engineer,Medium
EMP034,38,Female,Germany,Low,49,Yes,No,Medium,Medium,Good,High,Yes,Project Manager,Medium
EMP035,48,Female,Germany,High,52,No,No,Low,High,Excellent,Moderate,Yes,Project Manager,Low
EMP036,48,Male,Canada,Medium,36,Yes,Yes,Low,Medium,Excellent,Moderate,No,QA Tester,High
EMP037,31,Male,USA,Low,56,Yes,No,High,Medium,Poor,Moderate,Yes,Software Engineer,Medium
EMP038,49,Female,India,Medium,62,Yes,Yes,Low,Low,Excellent,Moderate,No,QA Tester,Low
EMP039,49,Male,Canada,High,51,Yes,Yes,High,Low,Poor,High,Yes,Software Engineer,Medium
EMP040,37,Male,UK,Medium,52,Yes,Yes,High,Medium,Poor,High,Yes,QA Tester,Medium
EMP041,36,Male,Canada,Medium,64,No,Yes,Medium,High,Excellent,High,No,DevOps Engineer,Low
EMP042,36,Male,Canada,High,40,No,No,Medium,Low,Poor,Low,Yes,UI/UX Designer,High
EMP043,40,Male,USA,Low,53,No,Yes,Medium,High,Good,High,No,UI/UX Designer,High
EMP044,33,Male,UK,Low,38,Yes,No,High,High,Excellent,Moderate,No,Software Engineer,Medium
EMP045,44,Female,Canada,Low,35,Yes,No,Medium,Medium,Good,High,No,Data Analyst,Low
EMP046,41,Female,India,Low,42,Yes,No,Low,Medium,Excellent,Moderate,No,Technical Support,High
EMP047,46,Male,India,Low,63,No,No,Low,Medium,Poor,Low,Yes,Project Manager,Medium
EMP048,24,Female,Germany,Low,57,Yes,Yes,High,Medium,Excellent,Moderate,Yes,Project Manager,Medium
EMP049,26,Female,UK,High,41,No,Yes,High,Low,Good,Moderate,Yes,Software Engineer,Medium
EMP050,40,Female,UK,Low,37,No,No,Medium,Low,Poor,Moderate,Yes,QA Tester,Medium
EMP051,28,Female,Germany,Medium,44,Yes,No,High,Medium,Excellent,Low,No,Data Analyst,Medium
EMP052,42,Male,Canada,High,44,Yes,Yes,High,Low,Excellent,High,Yes,DevOps Engineer,Medium
EMP053,30,Female,UK,Medium,53,No,No,Low,Medium,Excellent,High,No,QA Tester,Medium
EMP054,28,Female,India,High,48,Yes,Yes,Low,High,Good,Low,Yes,QA Tester,High
EMP055,39,Male,India,Low,36,No,No,Medium,High,Good,Moderate,No,Software Engineer,Medium
EMP056,25,Male,USA,Low,62,Yes,Yes,High,High,Excellent,High,No,Software Engineer,High
EMP057,46,Female,UK,Low,35,Yes,No,High,Medium,Poor,Low,Yes,Project Manager,High
EMP058,49,Female,Canada,Low,57,No,No,Low,High,Poor,High,Yes,Software Engineer,Medium
EMP059,35,Female,Germany,Low,57,Yes,Yes,High,Low,Good,Low,No,Software Engineer,Medium
EMP060,39,Female,Germany,Low,62,No,No,Low,High,Poor,Moderate,Yes,Software Engineer,Medium
EMP061,47,Female,Canada,Low,52,Yes,No,Medium,High,Good,High,No,Project Manager,Medium
